gauge_id;gauge;leitercharackter_huek250;gesteinsart_huek250;soil_texture_boart_1000;durchlässigkeit_huek250;dominating_soil_type_bk500;land_use_corine;area_m2_watershed;grundwasserneubildung_gwn_1000;greundigkeit_physgru_1000;slope_mean_dem_40;elongation_ratio;et_mean;dis_mean;prec_mean;runoff_ratio
24861054;Buedingen;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Wood;93689112.67;150.3966799;8.560046189;6.267330411;0.364956177;545.6524861;321.1742563;866.8267424;0.370517245
42840453;Dalwigksthal;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Grassland;228808523.9;120.9928835;5.439147762;9.37533867;0.537506727;470.0347411;435.5226763;905.5574173;0.480944298
25840708;Dillenburg 1;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;251080592.1;164.8472829;5.69997022;8.488668015;0.703630217;520.0768186;494.6021733;1014.620338;0.487475122
25840650;Dillenburg 2;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;81925634.41;141.9477012;6.483318305;10.32464155;0.452064782;558.5556935;501.6218073;1060.161613;0.47315598
23960709;Eberstadt;Grundwasser-Geringleiter;Magmatit;Sandlehme (sl);gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Grassland;85976162.04;135.216469;11.36124177;6.929924943;0.360749588;;250.0417664;828.9474437;0.301637659
44480552;Ehringen;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Eutric Cambisols;Agriculture;137732074.5;79.97587456;10.34081527;4.860730553;0.640076125;557.5498591;156.0609484;713.6108075;0.218691963
24810359;Eichelsachsen;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Grassland;23848554.29;210.7304781;6.964179104;6.370580843;0.446005993;584.7786614;404.3436475;989.1223088;0.408790343
24960307;Eppstein;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Dystric Cambisols;Wood;110368185.8;75.80231488;6.034208708;8.149484907;0.686576695;600.5100365;202.4889231;802.8585808;0.252209951
25860851;Essershausen;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;205843874.3;77.12933577;4.933424377;8.346240857;0.388622024;503.1776604;278.8107447;781.9884051;0.356540766
25831059;Etzelmuehle;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;81138019.65;97.42708482;10.04343891;7.916689824;0.517741577;554.35575;297.4504556;851.8062056;0.349199681
23940359;Fahrenbach;Grundwasser-Geringleiter;Magmatit;Sandlehme (sl);gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Grassland;44237325.79;159.3705196;8.885737439;10.41319598;0.64965607;622.4311906;375.6521338;998.0833245;0.37637352
24841206;Friedberg;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Agriculture;183595925.3;68.82705526;8.747474747;5.071132744;0.437941818;522.2488445;173.9332215;696.182066;0.249838699
24783450;Gelnhausen;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Grassland;673245560.9;161.6062826;9.541140248;6.969149898;0.553817702;537.4288217;379.711735;916.8436325;0.41415103
25822251;Gemuenden;Grundwasser-Geringleiter;Sediment;Lehmsande (ls);gering (>1E-7 - 1E-5);Dystric Cambisols;Wood;102180357.1;86.48175099;9.607333333;7.266537226;0.720728384;500.8943316;243.4538828;744.3482145;0.327069882
24860754;Glauberg;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Wood;153986007.3;162.7768209;7.281924883;5.94316221;0.393925605;500.441561;367.8092662;870.9306213;0.422317527
24761005;Gross-Bieberau 2;Grundwasser-Geringleiter;Magmatit;Sandlehme (sl);gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Wood;35556338.91;134.1003178;8.557803468;8.877438228;0.631203073;618.3041718;272.7916045;891.0957764;0.30613051
41450056;Guenthers;Grundwasser-Leiter/Geringleiter;Sediment;Tonschluffe (tu);maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Grassland;183039745.6;192.5677016;6.148274478;8.12100368;0.535257333;518.4393711;455.6888682;974.1931313;0.467760297
42881100;Gungelshausen;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Grassland;113893924.4;122.487298;15.71009674;4.006811037;0.327408619;494.4418032;241.6905051;736.1323082;0.328324817
25840253;Haiger;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;63082970.3;154.0801229;4.995505618;9.418367131;0.601497812;570.2091745;438.5904466;1011.383707;0.433653858
25822808;Hainmuehle;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Grassland;916625680.9;120.0241218;12.29109456;4.810363078;0.540772369;465.2340358;280.0967254;751.4504692;0.372741434
24784259;Hanau;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Grassland;927760580.9;153.6674509;10.74643336;6.240524954;0.441557201;547.4314255;333.6748105;881.106236;0.378699863
24762653;Harreshausen;Grundwasser-Geringleiter;Magmatit;Sandlehme (sl);gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Agriculture;464816802.7;139.3128751;13.01672833;4.85554938;0.437125527;593.7268782;193.4575862;786.2225189;0.246059584
42883558;Hebel;Grundwasser-Leiter/Geringleiter;Sediment;Tonschluffe (tu);maessig bis gering (>1E-6 - 1E-4);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Agriculture;218413824.8;114.6279704;13.05829523;5.73419153;0.481575062;538.7329146;199.3292019;741.5553183;0.26879883
41510205;Heimboldshausen;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering (>1E-7 - 1E-5);Spodic Cambisol ;Wood;2793572842;123.1949598;6.584365024;8.377583903;0.416547699;541.3137534;303.5989308;856.7978346;0.354341384
44950055;Helmarshausen;Grundwasser-Leiter/Geringleiter;Sediment;Tonschluffe (tu);maessig bis gering (>1E-6 - 1E-4);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Agriculture;1757395999;106.5957536;10.53360003;5.988134425;0.413819653;526.9649547;237.4766134;766.8234764;0.309688762
42960105;Helsa;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Wood;53946669.49;174.5791151;5.12767475;6.444463578;0.612548116;514.4708333;331.8146151;846.2854484;0.392083564
25841507;Herbornseelbach;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Wood;134545186.3;95.53409756;6.846987315;7.83639947;0.56428356;548.5737788;286.5471116;835.1208904;0.343120517
42670557;Hermannspiegel;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Grassland;421960498.4;109.4330524;8.613761468;5.765218415;0.408027666;526.4104292;231.4369052;757.7333291;0.305433187
